filename,relpath,size_mb,n_keys
ieee118__ieee118__raw__Bf.mat.json,powergraph/dataset_cascades_extracted/dataset_cascades/ieee118/ieee118/raw/Bf.mat,373.527,2
ieee118__ieee118__raw__Ef.mat.json,powergraph/dataset_cascades_extracted/dataset_cascades/ieee118/ieee118/raw/Ef.mat,738.031,2
ieee118__ieee118__raw__Ef_nc.mat.json,powergraph/dataset_cascades_extracted/dataset_cascades/ieee118/ieee118/raw/Ef_nc.mat,738.031,2
ieee118__ieee118__raw__blist.mat.json,powergraph/dataset_cascades_extracted/dataset_cascades/ieee118/ieee118/raw/blist.mat,0.005,1
ieee118__ieee118__raw__exp.mat.json,powergraph/dataset_cascades_extracted/dataset_cascades/ieee118/ieee118/raw/exp.mat,48.331,2
ieee118__ieee118__raw__of_bi.mat.json,powergraph/dataset_cascades_extracted/dataset_cascades/ieee118/ieee118/raw/of_bi.mat,43.611,2
ieee118__ieee118__raw__of_mc.mat.json,powergraph/dataset_cascades_extracted/dataset_cascades/ieee118/ieee118/raw/of_mc.mat,46.405,2
ieee118__ieee118__raw__of_reg.mat.json,powergraph/dataset_cascades_extracted/dataset_cascades/ieee118/ieee118/raw/of_reg.mat,0.045,1
ieee24__ieee24__raw__Bf.mat.json,powergraph/dataset_cascades_extracted/dataset_cascades/ieee24/ieee24/raw/Bf.mat,18.91,2
ieee24__ieee24__raw__Ef.mat.json,powergraph/dataset_cascades_extracted/dataset_cascades/ieee24/ieee24/raw/Ef.mat,32.032,2
ieee24__ieee24__raw__Ef_nc.mat.json,powergraph/dataset_cascades_extracted/dataset_cascades/ieee24/ieee24/raw/Ef_nc.mat,32.032,2
ieee24__ieee24__raw__blist.mat.json,powergraph/dataset_cascades_extracted/dataset_cascades/ieee24/ieee24/raw/blist.mat,0.002,1
ieee24__ieee24__raw__exp.mat.json,powergraph/dataset_cascades_extracted/dataset_cascades/ieee24/ieee24/raw/exp.mat,7.943,2
ieee24__ieee24__raw__of_bi.mat.json,powergraph/dataset_cascades_extracted/dataset_cascades/ieee24/ieee24/raw/of_bi.mat,7.263,2
ieee24__ieee24__raw__of_mc.mat.json,powergraph/dataset_cascades_extracted/dataset_cascades/ieee24/ieee24/raw/of_mc.mat,7.753,2
ieee24__ieee24__raw__of_reg.mat.json,powergraph/dataset_cascades_extracted/dataset_cascades/ieee24/ieee24/raw/of_reg.mat,0.016,1
ieee39__ieee39__raw__Bf.mat.json,powergraph/dataset_cascades_extracted/dataset_cascades/ieee39/ieee39/raw/Bf.mat,33.998,2
ieee39__ieee39__raw__Ef.mat.json,powergraph/dataset_cascades_extracted/dataset_cascades/ieee39/ieee39/raw/Ef.mat,48.312,2
ieee39__ieee39__raw__Ef_nc.mat.json,powergraph/dataset_cascades_extracted/dataset_cascades/ieee39/ieee39/raw/Ef_nc.mat,48.312,2
ieee39__ieee39__raw__blist.mat.json,powergraph/dataset_cascades_extracted/dataset_cascades/ieee39/ieee39/raw/blist.mat,0.003,1
ieee39__ieee39__raw__exp.mat.json,powergraph/dataset_cascades_extracted/dataset_cascades/ieee39/ieee39/raw/exp.mat,10.214,2
ieee39__ieee39__raw__of_bi.mat.json,powergraph/dataset_cascades_extracted/dataset_cascades/ieee39/ieee39/raw/of_bi.mat,9.218,2
ieee39__ieee39__raw__of_mc.mat.json,powergraph/dataset_cascades_extracted/dataset_cascades/ieee39/ieee39/raw/of_mc.mat,9.856,2
ieee39__ieee39__raw__of_reg.mat.json,powergraph/dataset_cascades_extracted/dataset_cascades/ieee39/ieee39/raw/of_reg.mat,0.014,1
uk__uk__raw__Bf.mat.json,powergraph/dataset_cascades_extracted/dataset_cascades/uk/uk/raw/Bf.mat,64.62,2
uk__uk__raw__Ef.mat.json,powergraph/dataset_cascades_extracted/dataset_cascades/uk/uk/raw/Ef.mat,215.497,2
uk__uk__raw__Ef_nc.mat.json,powergraph/dataset_cascades_extracted/dataset_cascades/uk/uk/raw/Ef_nc.mat,215.497,2
uk__uk__raw__blist.mat.json,powergraph/dataset_cascades_extracted/dataset_cascades/uk/uk/raw/blist.mat,0.003,1
uk__uk__raw__exp.mat.json,powergraph/dataset_cascades_extracted/dataset_cascades/uk/uk/raw/exp.mat,25.011,2
uk__uk__raw__of_bi.mat.json,powergraph/dataset_cascades_extracted/dataset_cascades/uk/uk/raw/of_bi.mat,22.62,2
uk__uk__raw__of_mc.mat.json,powergraph/dataset_cascades_extracted/dataset_cascades/uk/uk/raw/of_mc.mat,24.08,2
uk__uk__raw__of_reg.mat.json,powergraph/dataset_cascades_extracted/dataset_cascades/uk/uk/raw/of_reg.mat,0.015,1
