filename,network,mat_type,relpath,size_mb,var_name,dtype,var_type,shape,n_dims,n_elements
ieee118__ieee118__raw__Bf.mat.json,ieee118,Bf,powergraph/dataset_cascades_extracted/dataset_cascades/ieee118/ieee118/raw/Bf.mat,373.52715492248535,#refs#,,h5obj,,,
ieee118__ieee118__raw__Bf.mat.json,ieee118,Bf,powergraph/dataset_cascades_extracted/dataset_cascades/ieee118/ieee118/raw/Bf.mat,373.52715492248535,B_f_tot,object,,"(1, 122500)",2.0,122500.0
ieee118__ieee118__raw__Ef.mat.json,ieee118,Ef,powergraph/dataset_cascades_extracted/dataset_cascades/ieee118/ieee118/raw/Ef.mat,738.0305128097534,#refs#,,h5obj,,,
ieee118__ieee118__raw__Ef.mat.json,ieee118,Ef,powergraph/dataset_cascades_extracted/dataset_cascades/ieee118/ieee118/raw/Ef.mat,738.0305128097534,E_f_post,object,,"(1, 122500)",2.0,122500.0
ieee118__ieee118__raw__Ef_nc.mat.json,ieee118,Ef_nc,powergraph/dataset_cascades_extracted/dataset_cascades/ieee118/ieee118/raw/Ef_nc.mat,738.0305128097534,#refs#,,h5obj,,,
ieee118__ieee118__raw__Ef_nc.mat.json,ieee118,Ef_nc,powergraph/dataset_cascades_extracted/dataset_cascades/ieee118/ieee118/raw/Ef_nc.mat,738.0305128097534,E_f_kenza,object,,"(1, 122500)",2.0,122500.0
ieee118__ieee118__raw__blist.mat.json,ieee118,blist,powergraph/dataset_cascades_extracted/dataset_cascades/ieee118/ieee118/raw/blist.mat,0.00466156005859375,bList,float64,,"(2, 186)",2.0,372.0
ieee118__ieee118__raw__exp.mat.json,ieee118,exp,powergraph/dataset_cascades_extracted/dataset_cascades/ieee118/ieee118/raw/exp.mat,48.331281661987305,#refs#,,h5obj,,,
ieee118__ieee118__raw__exp.mat.json,ieee118,exp,powergraph/dataset_cascades_extracted/dataset_cascades/ieee118/ieee118/raw/exp.mat,48.331281661987305,explainations,object,,"(1, 122500)",2.0,122500.0
ieee118__ieee118__raw__of_bi.mat.json,ieee118,of_bi,powergraph/dataset_cascades_extracted/dataset_cascades/ieee118/ieee118/raw/of_bi.mat,43.61102771759033,#refs#,,h5obj,,,
