wb,md,qm,auc,ap,f1,precision,recall,r10,target_net
12,22,2.0,0.566851798081428,0.1425763767114687,0.14591762948964046,0.1483359730432912,0.25339667186431186,0.14318884079643587,ieee118
16,22,2.0,0.5932039857579757,0.13614241031497828,0.13537638207104383,0.13055202910029132,0.26201935467790993,0.15350412561348012,ieee118
12,22,1.6,0.566851798081428,0.1425763767114687,0.13363025623351357,0.14875478549979332,0.19868344641083455,0.14318884079643587,ieee118
8,18,1.6,0.5899254683488556,0.1573352666782896,0.12117410470308083,0.13131378679859493,0.1853886826333204,0.14775271049741157,ieee118
12,18,1.6,0.5746450770678009,0.13783557818219913,0.11451057676947557,0.12275285147363126,0.19048483978192346,0.14614642806514128,ieee118
16,22,2.0,0.5941959449270996,0.08440287469017742,0.1223950919709063,0.08974790556337235,0.2317681207316851,0.1991607598371604,ieee24
8,18,1.6,0.5525571680875629,0.07622896148124304,0.11926843675847631,0.10187383691065864,0.16709856278956836,0.17780689331291608,ieee24
12,18,1.6,0.5879713233094538,0.08242014615618189,0.10886439867015048,0.09423074184209167,0.15326911863615497,0.17762962716737787,ieee24
12,22,1.6,0.5013684101534692,0.0670802282961771,0.10659510283155053,0.09473039900736614,0.14039467539951603,0.1479881887914015,ieee24
12,22,2.0,0.5013684101534692,0.0670802282961771,0.10360554747344043,0.08119573968763959,0.1686426592148511,0.1479881887914015,ieee24
8,18,1.6,0.6569943155267925,0.19963588714907407,0.20123610507397424,0.2274243303498876,0.29096216730620517,0.2763517788141352,ieee39
16,22,2.0,0.6289424781526489,0.14752003517458812,0.14941876680604899,0.1338015752562502,0.29368775359396504,0.22244351146406438,ieee39
12,18,1.6,0.6220808727672507,0.15052270983495572,0.14903235457747405,0.15035530823448887,0.24112159671064495,0.22789475994976302,ieee39
12,22,2.0,0.623091069266909,0.13988692422623003,0.12284649889176617,0.10986408767700391,0.24610943395478055,0.16303789585106368,ieee39
12,22,1.6,0.623091069266909,0.13988692422623003,0.11780471812258808,0.1111204436641474,0.18540065596452704,0.16303789585106368,ieee39
12,22,2.0,0.5133606486435629,0.15425234266639912,0.16853302942611578,0.181207355466835,0.23220444450751546,0.14111597274230334,uk
8,18,1.6,0.5497110791428188,0.16234651328664998,0.16575031876285443,0.20036385144048377,0.20437961002538207,0.1545223280177945,uk
12,22,1.6,0.5133597525554303,0.15426174972226495,0.1610675095915759,0.18604661460286245,0.18963505405313077,0.1401930378092161,uk
12,18,1.6,0.4810737551452371,0.11926862684686575,0.11056365880662243,0.12611506914393233,0.14557290193590836,0.10436221294630547,uk
16,22,2.0,0.5235442397178134,0.11725969207374072,0.10152337194682982,0.08178738919085436,0.1966770119855992,0.10581519026135387,uk
