md,ml,mae,rmse,r2,target_net
22,2,0.049240935627252715,0.06599150849192546,-7.157788791597729,ieee118
18,2,0.04847676465255107,0.06666426581591671,-8.161057241220915,ieee118
18,1,0.054916926846489716,0.07303587979593668,-10.175647739636776,ieee118
22,1,0.05758387029857224,0.0755319743028736,-11.264315880636977,ieee118
18,2,0.02484206223618193,0.040119933686017024,-18.502466350839782,ieee24
22,2,0.02911390680912032,0.04445995342942768,-39.860147940638065,ieee24
22,1,0.03237765094173165,0.04604073275389122,-33.89089101387411,ieee24
18,1,0.03248849100628464,0.047066342638774884,-33.8459086089519,ieee24
22,2,0.025077696470950303,0.04131110861372972,-32.946440445500656,ieee39
18,2,0.026061164452956736,0.04174329178986996,-36.50275401728433,ieee39
22,1,0.030676451560690706,0.045668998605295184,-35.613513651853545,ieee39
18,1,0.03214943422710411,0.04643316906660994,-43.74476127174953,ieee39
18,2,0.03624594709611551,0.04374815328013527,-262.5576386684385,uk
22,2,0.038614735506313676,0.04498940531951424,-269.0401780321818,uk
18,1,0.03855476667227764,0.045280096477012234,-259.7266041895908,uk
22,1,0.04160322523239662,0.04786144102306982,-297.1365298990357,uk
