variant,test_network,threshold,auc,f1,precision,recall,acc,pos_rate_test
rf_balanced,ieee118,0.5,0.5953213759554561,0.0,0.0,0.0,0.9491020408163265,0.05089795918367347
rf_balanced,ieee24,0.5,0.6169206700165666,0.0,0.0,0.0,0.7984186046511628,0.2015813953488372
rf_balanced,ieee39,0.5,0.4678554012271917,0.0,0.0,0.0,0.9103928571428571,0.08960714285714286
rf_balanced,uk,0.5,0.8469426014412991,0.0,0.0,0.0,0.9650625,0.0349375
rf_sample_weighted,ieee118,0.5,0.635813499640353,0.0,0.0,0.0,0.9491020408163265,0.05089795918367347
rf_sample_weighted,ieee24,0.5,0.6528862940506397,0.0,0.0,0.0,0.7984186046511628,0.2015813953488372
rf_sample_weighted,ieee39,0.5,0.4820583133468327,0.02032043767096522,0.52,0.010362694300518135,0.9104642857142857,0.08960714285714286
rf_sample_weighted,uk,0.5,0.8371049898633137,0.0,0.0,0.0,0.9650625,0.0349375
rf_weighted_netnorm,ieee118,0.5,0.5089247226500614,0.0,0.0,0.0,0.9491020408163265,0.05089795918367347
rf_weighted_netnorm,ieee24,0.5,0.7224660164400272,0.0,0.0,0.0,0.7982325581395349,0.2015813953488372
rf_weighted_netnorm,ieee39,0.5,0.5527458803948953,0.0,0.0,0.0,0.9103571428571429,0.08960714285714286
rf_weighted_netnorm,uk,0.5,0.8646398449681916,0.017467248908296942,0.37037037037037035,0.008944543828264758,0.96484375,0.0349375
