mode,test_network,auc,ap,f1,precision,recall
m1_two_stage,ieee118,0.5440682265023906,0.1321273016362987,0.0,0.0,0.0
m1_two_stage,ieee24,0.6546257179042131,0.4290756997790745,0.0,0.0,0.0
m1_two_stage,ieee39,0.47665031247738693,0.15316276815770447,0.0,0.0,0.0
m1_two_stage,uk,0.7455803119624355,0.22226620304837352,0.0,0.0,0.0
m2_unsup_threshold,ieee118,0.5440704960883672,0.1321292758422458,0.16969009826152684,0.10201564477912298,0.5040898155573376
m2_unsup_threshold,ieee24,0.6546257179042131,0.4290756997790745,0.53249350129974,0.4698306280875088,0.614443931702815
m2_unsup_threshold,ieee39,0.47665031247738693,0.15316276815770447,0.22669422386598498,0.1558946738479952,0.4153049023515345
m2_unsup_threshold,uk,0.7455803449925087,0.2222632959472505,0.18523925385239254,0.1053570330278615,0.7661001788908766
m3_sample_transfer,ieee118,0.5016190748014955,0.08867538358355785,0.0,0.0,0.0
m3_sample_transfer,ieee24,0.6633477653306764,0.4911508428897819,0.0,0.0,0.0
m3_sample_transfer,ieee39,0.6205243687566261,0.2001028607675819,0.0,0.0,0.0
m3_sample_transfer,uk,0.5607211588006649,0.07402687397757607,0.0,0.0,0.0
